image,smiles,votes,agreement,confidence,in_pubchem,trust,needs_review,highres,correct
blurry1_aspirin.png,CC(C)C[C@@H]1CCCCC1C(C)C,3/6,0.5,0.909,True,True,False,/content/output/blurry1_aspirin_highres.png,
mix1_aspirin_lowres.png,CC(=O)Oc1ccccc1C(=O)O,5/6,0.83,0.955,True,True,False,/content/output/mix1_aspirin_lowres_highres.png,
mix2_paracetamol_blur.png,CC(=O)Nc1ccc(O)cc1,4/6,0.67,0.967,True,True,False,/content/output/mix2_paracetamol_blur_highres.png,
mix3_ibuprofen_paper.png,CC(C)Cc1ccc(C(C)C(=O)O)cc1,6/6,1.0,0.992,True,True,False,/content/output/mix3_ibuprofen_paper_highres.png,
mix4_caffeine_scan.png,Cn1c(=O)c2c(ncn2C)n(C)c1=O,6/6,1.0,0.995,True,True,False,/content/output/mix4_caffeine_scan_highres.png,
molecule.png,Cn1c(=O)c2c(ncn2C)n(C)c1=O,6/6,1.0,0.996,True,True,False,/content/output/molecule_highres.png,
molecule1.png,Cn1c(=O)c2c(nc(CC34CC5CC(CC(C5)C3)C4)n2C)n(C)c1=O,1/3,0.33,0.821,False,False,True,/content/output/molecule1_highres.png,
molecule2.png,c1ccccc1,4/6,0.67,0.856,True,True,False,/content/output/molecule2_highres.png,
molecule4.png,CC(=O)OCc1cccc(I)c1C(=O)O,4/6,0.67,0.951,False,True,True,/content/output/molecule4_highres.png,
molecule5.png,OCC1O[C@@H](O)C(O)[C@@H](O)[C@@H]1O,1/6,0.17,0.881,True,False,True,/content/output/molecule5_highres.png,
